"ids","betahat","rawp"
"ENSG00000000003.14","G1",0.0862205227978877,0.790902568290126
"ENSG00000000005.5","G2",0.0949624850738997,0.910116257779893
"ENSG00000000419.12","G3",0.111532327120176,0.618583075506309
"ENSG00000000457.13","G4",0.0546859434675654,0.763417531599573
"ENSG00000000460.16","G5",0.0234827185916118,0.915961250655358
"ENSG00000000938.12","G6",0.207551359814119,0.510982830439858
"ENSG00000000971.15","G7",0.0913849756030182,0.876095303164754
"ENSG00000001036.13","G8",0.156382933963559,0.65364462514727
"ENSG00000001084.10","G9",-0.37682149532084,0.277632600077112
"ENSG00000001167.14","G10",-0.0134571873422997,0.957086161153666
"ENSG00000001460.17","G11",-0.529796435962323,0.434476032479445
"ENSG00000001461.16","G12",-0.363009560742099,0.443221453659464
"ENSG00000001497.16","G13",-0.204699384586891,0.238995846148238
"ENSG00000001561.6","G14",0.582130623142502,0.36093389490386
"ENSG00000001617.11","G15",0.471206171676966,0.42773929217011
"ENSG00000001626.14","G16",-0.557201270321002,0.406545570469344
"ENSG00000001629.9","G17",-0.171764791081639,0.534267142779763
"ENSG00000001630.15","G18",-0.306981244841144,0.234913145980114
"ENSG00000001631.15","G19",-0.0465028211389709,0.840569293640491
"ENSG00000002016.17","G20",0.112488275243236,0.606564067043816
"ENSG00000002079.12","G21",0.183884832871464,0.860725296657069
"ENSG00000002330.13","G22",0.107197388902527,0.598407243319686
"ENSG00000002549.12","G23",0.485056407843959,0.281082183258459
"ENSG00000002586.18","G24",0.70439576444071,0.0887299141084958
"ENSG00000002587.9","G26",0.750324361688083,0.0608505470029742
"ENSG00000002726.20","G27",1.33155595269773,0.180977724462047
"ENSG00000002745.12","G28",-0.514152815772248,0.610421380849909
"ENSG00000002746.14","G29",-0.734540509654075,0.559191051418081
"ENSG00000002822.15","G30",-0.0023583814752926,0.99238075122758
"ENSG00000002834.17","G31",0.0113652057050148,0.95039165411686
"ENSG00000002919.14","G32",0.244312437997278,0.218758936169789
"ENSG00000002933.7","G33",0.39769336505516,0.119556452746715
"ENSG00000003056.7","G34",0.268960408904232,0.130477112761023
"ENSG00000003096.13","G35",0.12263146485527,0.788722826527999
"ENSG00000003137.8","G36",-0.0964527003563928,0.889626943733808
"ENSG00000003147.17","G37",-0.443902833303863,0.345015392606252
"ENSG00000003249.13","G38",-0.0580881066970292,0.865091150430648
"ENSG00000003393.14","G39",-0.0942278367817188,0.574774350760212
"ENSG00000003400.14","G40",0.12152912407662,0.74148440401966
